origin,genotype,treatment,comment,method,phyllo,plasto
Andrieu,Dea,nd,25um,digitized,2.76,7.01E+00
Andrieu,Dea,nd,25um,digitized,3.53,8.54E+00
Andrieu,Dea,hd,25um,digitized,3.57,9.111844487
Andrieu,Dea,nd,25um,digitized,4.3,9.81E+00
Andrieu,Dea,nd,25um,digitized,4.49,1.03E+01
Andrieu,Dea,nd,25um,digitized,4.65,1.03E+01
Andrieu,Dea,hd,25um,digitized,4.96,10.8785168
Andrieu,Dea,nd,25um,digitized,5.4,1.10E+01
Andrieu,Dea,hd,25um,digitized,4.94,11.08907048
Andrieu,Dea,nd,25um,digitized,5.35,1.13E+01
Andrieu,Dea,nd,25um,digitized,5.3,1.13E+01
Andrieu,Dea,hd,25um,digitized,5.39,12.14113801
Andrieu,Dea,hd,25um,digitized,5.88,13.12999361
Andrieu,Dea,hd,25um,digitized,6.2,13.6348534
Andrieu,Dea,hd,25um,digitized,6.52,13.95023914
Andrieu,Dea,nd,25um,digitized,6.68,1.43E+01
Andrieu,Dea,hd,25um,digitized,7.2,15.14937886
Bassiri,A632xW123,NA,0.5apex,digitized,2.88,8.90E+00
Bassiri,A632xW123,NA,0.5apex,digitized,2.96,9.37E+00
Bassiri,A632xW123,NA,0.5apex,digitized,3.54,9.82E+00
Bassiri,A632xW123,NA,0.5apex,digitized,5.15,1.20E+01
Bassiri,A632xW123,NA,0.5apex,digitized,4.93,1.32E+01
Bassiri,A632xW123,NA,0.5apex,digitized,5.98,1.47E+01
Bassiri,A632xW123,NA,0.5apex,digitized,6.23,1.66E+01
Bassiri,A632xW123,NA,0.5apex,digitized,6.9,1.80E+01
Bassiri,TP2,mutant,0.5apex,digitized,3.13,8.35E+00
Bassiri,TP2,mutant,0.5apex,digitized,3.08,8.47E+00
Bassiri,TP2,mutant,0.5apex,digitized,3.46,9.44E+00
Bassiri,TP2,mutant,0.5apex,digitized,4.85,1.13E+01
Bassiri,TP2,mutant,0.5apex,digitized,5.9,1.36E+01
Bassiri,TP2,mutant,0.5apex,digitized,5.98,1.46E+01
Bassiri,TP2,mutant,0.5apex,digitized,7.49,1.64E+01
Bassiri,TP2,mutant,0.5apex,digitized,7.75,1.65E+01
Bassiri,TP2,mutant,0.5apex,digitized,8.29,1.85E+01
Bassiri,TP2,mutant,0.5apex,digitized,9.6,1.95E+01
Bassiri,TP2,mutant,0.5apex,digitized,11.24,2.12E+01
Birch,C87,experiment1,25um,digitized,3.97,7.070866142
Birch,C87,experiment1,25um,digitized,5.21,8.041994751
Birch,C87,experiment1,25um,digitized,5.21,8.934383202
Birch,C87,experiment1,25um,digitized,5.67,10.03674541
Birch,C87,experiment1,25um,digitized,5.67,10.9816273
Birch,C87,experiment2,25um,digitized,7.33,11.00787402
Birch,C87,experiment1,25um,digitized,6.13,12.00524934
Birch,C87,experiment2,25um,digitized,8.14,12.03149606
Birch,C87,experiment1,25um,digitized,8.45,13.05511811
Birch,C87,experiment2,25um,digitized,8.05,13.05511811
Birch,C87,experiment2,25um,digitized,9.25,14
Birch,C87,experiment1,25um,digitized,9.01,14.02624672
Birch,C87,experiment1,25um,digitized,9.07,14.97112861
Birch,C87,experiment2,25um,digitized,9.25,15.02362205
Birch,C87,experiment1,25um,digitized,9.88,16.02099738
Birch,C87,experiment2,25um,digitized,10.09,16.04724409
Birch,C87,experiment2,25um,digitized,10.93,16.99212598
Birch,C87,experiment1,25um,digitized,9.94,17.04461942
Birch,C87,experiment2,25um,digitized,10.96,18.04199475
Birch,C87,experiment1,25um,digitized,10.74,18.06824147
Birch,C87,experiment2,25um,digitized,12.1,19.01312336
Birch,C87,experiment1,25um,digitized,10.77,20.03674541
Birch,C87,experiment2,25um,digitized,12.16,20.06299213
Birch,C87,experiment2,25um,digitized,12.7,20.95538058
Birch,C87,experiment2,25um,digitized,14.71,22.00524934
Birch,C87,experiment2,25um,digitized,14.77,23.10761155
Birch,P3527,NA,25um,digitized,3.94,8.07E+00
Birch,P3527,NA,25um,digitized,4.51,8.99E+00
Birch,P3527,NA,25um,digitized,5.98,9.98E+00
Birch,P3527,NA,25um,digitized,7.32,1.10E+01
Birch,P3527,NA,25um,digitized,8.15,1.20E+01
Birch,P3527,NA,25um,digitized,9.09,1.30E+01
Birch,P3527,NA,25um,digitized,10.06,1.40E+01
Birch,P3527,NA,25um,digitized,11.03,1.50E+01
Birch,P3527,NA,25um,digitized,11.7,1.60E+01
Birch,P3527,NA,25um,digitized,14.57,1.70E+01
Birch,P3527,NA,25um,digitized,15.28,1.80E+01
Birch,P3527,NA,25um,digitized,15.98,1.90E+01
Birch,P3527,NA,25um,digitized,16.85,2.00E+01
Birch,P3527,NA,25um,digitized,18.65,2.10E+01
Chenu,Dea,NA,NA,digitized,1.93,6.927772274
Chenu,Dea,NA,NA,digitized,2.52,8.017743721
Chenu,Dea,NA,NA,digitized,3.31,8.020657304
Chenu,Dea,NA,NA,digitized,2.8,8.419526834
Chenu,Dea,NA,NA,digitized,3.82,8.938581668
Chenu,Dea,NA,NA,digitized,4.41,10.02855311
Chenu,Dea,NA,NA,digitized,3.5,10.25421013
Chenu,Dea,NA,NA,digitized,4.21,10.82935144
Chenu,Dea,NA,NA,digitized,5.03,11.00416642
Chenu,Dea,NA,NA,digitized,4.99,12.37806655
Chenu,Dea,NA,NA,digitized,5.5,12.72347183
Chenu,Dea,NA,NA,real,6.01,13.6986481
Chenu,Dea,NA,NA,digitized,5.54,14.0404114
Chenu,Dea,NA,NA,digitized,6.21,15.01617039
Chenu,Dea,NA,NA,digitized,6.64,15.64754385
Chenu,Dea,NA,NA,digitized,7.27,16.45140143
Fletcher,challenger,NA,NA,digitized,2.64,5.74E+00
Fletcher,challenger,NA,NA,digitized,2.28,6.15E+00
Fletcher,challenger,NA,NA,digitized,2.58,6.24E+00
Fletcher,challenger,NA,NA,digitized,4.12,9.68E+00
Fletcher,challenger,NA,NA,digitized,4.45,1.02E+01
Fletcher,challenger,NA,NA,digitized,4.94,1.02E+01
Fletcher,challenger,NA,NA,digitized,5.28,1.10E+01
Fletcher,challenger,NA,NA,digitized,5.61,1.15E+01
Fletcher,challenger,NA,NA,digitized,6.12,1.28E+01
Fletcher,challenger,NA,NA,digitized,6.12,1.31E+01
Fletcher,challenger,NA,NA,digitized,7.3,1.43E+01
Fletcher,challenger,NA,NA,digitized,7.62,1.50E+01
Fletcher,challenger,NA,NA,digitized,7.96,1.57E+01
Fletcher,challenger,NA,NA,digitized,8.82,1.59E+01
Fletcher,challenger,NA,NA,digitized,8.15,1.60E+01
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,2.63,6.893617021
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,2.09,6.965425532
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,3.13,7.970744681
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,3.6,8.928191489
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,4.19,8.928191489
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,3.65,9.909574468
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,4.15,9.957446809
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,4.69,9.957446809
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,4.71,10.93882979
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,5.68,11.92021277
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,5.7,12.92553191
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,6.22,12.94946809
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,6.74,12.97340426
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,7.24,13.88297872
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,8.25,13.95478723
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,7.26,14.96010638
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,8.27,14.96010638
Hesketh,DeKalbXL45,NA,"apex ridge, disssection microscope",digitized,8.3,15.94148936
Lejeune,B22,NA,NA,digitized,3.92,8.05E+00
Lejeune,B22,NA,NA,digitized,3.71,8.11E+00
Lejeune,B22,NA,NA,digitized,3.83,8.11E+00
Lejeune,B22,NA,NA,digitized,4.51,9.07E+00
Lejeune,B22,NA,NA,digitized,4.71,9.07E+00
Lejeune,B22,NA,NA,digitized,3.92,9.08E+00
Lejeune,B22,NA,NA,digitized,4.7,1.01E+01
Lejeune,B22,NA,NA,digitized,4.62,1.01E+01
Lejeune,B22,NA,NA,digitized,4.91,1.11E+01
Lejeune,B22,NA,NA,digitized,5.32,1.21E+01
Lejeune,B22,NA,NA,digitized,5.41,1.21E+01
Lejeune,B22,NA,NA,digitized,5.32,1.31E+01
Lejeune,B22,NA,NA,digitized,5.22,1.31E+01
Lejeune,B22,NA,NA,digitized,5.61,1.31E+01
Lejeune,B22,NA,NA,digitized,5.71,1.31E+01
Lejeune,B22,NA,NA,digitized,5.79,1.31E+01
Lejeune,B22,NA,NA,digitized,5.9,1.40E+01
Lejeune,B22,NA,NA,digitized,6.11,1.41E+01
Lejeune,B22,NA,NA,digitized,6.31,1.41E+01
Lejeune,B22,NA,NA,digitized,6.49,1.41E+01
Lejeune,B22,NA,NA,digitized,6.61,1.41E+01
Lejeune,B22,NA,NA,digitized,6.7,1.51E+01
Lejeune,B22,NA,NA,digitized,6.81,1.51E+01
Lejeune,B22,NA,NA,digitized,6.89,1.51E+01
Lejeune,B22,NA,NA,digitized,7.09,1.51E+01
Lejeune,B22,NA,NA,digitized,7.2,1.51E+01
Lejeune,B22,NA,NA,digitized,7.3,1.51E+01
Lejeune,B22,NA,NA,digitized,7.1,1.61E+01
Lejeune,B22,NA,NA,digitized,7.4,1.61E+01
Lejeune,B22,NA,NA,digitized,7.51,1.61E+01
Lejeune,B22,NA,NA,digitized,7.61,1.61E+01
Lejeune,B22,NA,NA,digitized,7.71,1.61E+01
Lejeune,B22,NA,NA,digitized,7.8,1.61E+01
Lejeune,B22,NA,NA,digitized,7.72,1.70E+01
Lejeune,B22,NA,NA,digitized,8.8,1.70E+01
Lejeune,B22,NA,NA,digitized,8.71,1.70E+01
Lejeune,B22,NA,NA,digitized,8.62,1.70E+01
Lejeune,B22,NA,NA,digitized,8.51,1.70E+01
Lejeune,B22,NA,NA,digitized,8.34,1.70E+01
Lejeune,B22,NA,NA,digitized,8.26,1.70E+01
Lejeune,B22,NA,NA,digitized,7.8,1.71E+01
Lejeune,B22,NA,NA,digitized,8.43,1.71E+01
Lejeune,B22,NA,NA,digitized,8.36,1.71E+01
Lejeune,B22,NA,NA,digitized,8.48,1.80E+01
Lejeune,B22,NA,NA,digitized,8.59,1.80E+01
Lejeune,B22,NA,NA,digitized,8.8,1.80E+01
Lejeune,B22,NA,NA,digitized,9.4,1.80E+01
Lejeune,B22,NA,NA,digitized,9.08,1.81E+01
Lejeune,B22,NA,NA,digitized,8.39,1.90E+01
Lejeune,B22,NA,NA,digitized,9.09,1.90E+01
Lejeune,B22,NA,NA,digitized,9.28,1.90E+01
Lejeune,B22,NA,NA,digitized,9.39,1.90E+01
Lejeune,B22,NA,NA,digitized,9.49,1.90E+01
Lejeune,B22,NA,NA,digitized,9.39,2.00E+01
Louarn,F2,NA,length=apex length,digitized,1.13,6.118871906
Louarn,F2,NA,length=apex length,digitized,1.84,7.546105976
Louarn,F2,NA,length=apex length,digitized,2.09,7.570384493
Louarn,F2,NA,length=apex length,digitized,2.82,8.922326596
Louarn,F2,NA,length=apex length,digitized,2.58,9.073538915
Louarn,F2,NA,length=apex length,digitized,4.09,10.2976332
Louarn,F2,NA,length=apex length,digitized,4.24,10.64827212
Louarn,F2,NA,length=apex length,digitized,4.44,10.77303514
Louarn,F2,NA,length=apex length,digitized,4.44,10.99873966
Louarn,F2,NA,length=apex length,digitized,4.55,11.14886659
Louarn,F2,NA,length=apex length,digitized,5.82,11.94737274
Louarn,F2,NA,length=apex length,digitized,5.53,12.44985237
Louarn,F2,NA,length=apex length,digitized,6.12,12.89943338
Louarn,F2,NA,length=apex length,digitized,6.39,12.94873305
Louarn,F2,NA,length=apex length,digitized,6.66,13.8005377
Louarn,F286,NA,length=apex length,digitized,1.82,6.523076923
Louarn,F286,NA,length=apex length,digitized,2.82,8.147692308
Louarn,F286,NA,length=apex length,digitized,2.82,8.418461538
Louarn,F286,NA,length=apex length,digitized,3.51,9.747692308
Louarn,F286,NA,length=apex length,digitized,3.51,9.772307692
Louarn,F286,NA,length=apex length,digitized,3.22,9.821538462
Louarn,F286,NA,length=apex length,digitized,4.59,11.02769231
Louarn,F286,NA,length=apex length,digitized,4.84,11.37230769
Louarn,F286,NA,length=apex length,digitized,4.84,11.47076923
Louarn,F286,NA,length=apex length,digitized,4.89,11.93846154
Louarn,F286,NA,length=apex length,digitized,6.49,13.71076923
Louarn,F286,NA,length=apex length,digitized,6.46,14.08
Louarn,F286,NA,length=apex length,digitized,6.46,14.30153846
Louarn,F286,NA,length=apex length,digitized,6.96,14.91692308
Louarn,F286,NA,length=apex length,digitized,6.96,14.94153846
Padilla,33G26,NA,0.3apex,real,2,8
Padilla,33G26,NA,0.3apex,real,2,8
Padilla,33G26,NA,0.3apex,real,3,8
Padilla,33G26,NA,0.3apex,real,3,8
Padilla,33G26,NA,0.3apex,real,3.25,8
Padilla,33G26,NA,0.3apex,real,3,8
Padilla,33G26,NA,0.3apex,real,3,8
Padilla,33G26,NA,0.3apex,real,3,8
Padilla,33G26,NA,0.3apex,real,3,8
Padilla,33G26,NA,0.3apex,real,3.5,8
Padilla,33G26,NA,0.3apex,real,3,9
Padilla,33G26,NA,0.3apex,real,3.25,9
Padilla,33G26,NA,0.3apex,real,4.25,10
Padilla,33G26,NA,0.3apex,real,4.25,10
Padilla,33G26,NA,0.3apex,real,5.75,11
Padilla,33G26,NA,0.3apex,real,5.25,11
Padilla,33G26,NA,0.3apex,real,4.25,11
Padilla,33G26,NA,0.3apex,real,4.5,11
Padilla,33G26,NA,0.3apex,real,4.5,11
Padilla,33G26,NA,0.3apex,real,4.5,11
Padilla,33G26,NA,0.3apex,real,5,11
Padilla,33G26,NA,0.3apex,real,5,12
Padilla,33G26,NA,0.3apex,real,5,12
Padilla,33G26,NA,0.3apex,real,6.75,13
Padilla,33G26,NA,0.3apex,real,5.25,13
Padilla,33G26,NA,0.3apex,real,7.25,14
Padilla,33G26,NA,0.3apex,real,7.25,14
Padilla,33G26,NA,0.3apex,real,6.75,14
Padilla,33G26,NA,0.3apex,real,7,14
Padilla,33G26,NA,0.3apex,real,6.75,14
Padilla,33G26,NA,0.3apex,real,6.75,14
Padilla,33G26,NA,0.3apex,real,8,15
Padilla,33G26,NA,0.3apex,real,7.25,15
Padilla,33G26,NA,0.3apex,real,6.5,15
Padilla,33G26,NA,0.3apex,real,8.5,15
Padilla,33G26,NA,0.3apex,real,8,16
Padilla,34B15,NA,0.3apex,real,2,8
Padilla,34B15,NA,0.3apex,real,3,8
Padilla,34B15,NA,0.3apex,real,3,8
Padilla,34B15,NA,0.3apex,real,3.5,8
Padilla,34B15,NA,0.3apex,real,3.5,8
Padilla,34B15,NA,0.3apex,real,3.25,8
Padilla,34B15,NA,0.3apex,real,3.25,8
Padilla,34B15,NA,0.3apex,real,3.5,8
Padilla,34B15,NA,0.3apex,real,3.5,8
Padilla,34B15,NA,0.3apex,real,3,9
Padilla,34B15,NA,0.3apex,real,3.25,9
Padilla,34B15,NA,0.3apex,real,3.25,9
Padilla,34B15,NA,0.3apex,real,4.75,11
Padilla,34B15,NA,0.3apex,real,4.75,11
Padilla,34B15,NA,0.3apex,real,4.75,11
Padilla,34B15,NA,0.3apex,real,5,12
Padilla,34B15,NA,0.3apex,real,5,12
Padilla,34B15,NA,0.3apex,real,5,12
Padilla,34B15,NA,0.3apex,real,5.5,12
Padilla,34B15,NA,0.3apex,real,6.5,12
Padilla,34B15,NA,0.3apex,real,5.25,13
Padilla,34B15,NA,0.3apex,real,6.25,13
Padilla,34B15,NA,0.3apex,real,6,13
Padilla,34B15,NA,0.3apex,real,5.25,13
Padilla,34B15,NA,0.3apex,real,8,15
Padilla,34B15,NA,0.3apex,real,7.25,15
Padilla,34B15,NA,0.3apex,real,7.5,15
Padilla,34B15,NA,0.3apex,real,7.25,15
Padilla,34B15,NA,0.3apex,real,7.5,15
Padilla,34B15,NA,0.3apex,real,8.25,16
Padilla,34B15,NA,0.3apex,real,8.25,16
Padilla,34B15,NA,0.3apex,real,8.25,16
Padilla,34B15,NA,0.3apex,real,7.75,16
Padilla,34B15,NA,0.3apex,real,8.25,17
Padilla,34B15,NA,0.3apex,real,8.5,17
Padilla,34B15,NA,0.3apex,real,8.5,17
Padilla,34K77,NA,0.3apex,real,2,8
Padilla,34K77,NA,0.3apex,real,2,8
Padilla,34K77,NA,0.3apex,real,3,8
Padilla,34K77,NA,0.3apex,real,3,8
Padilla,34K77,NA,0.3apex,real,3.5,8
Padilla,34K77,NA,0.3apex,real,3.5,8
Padilla,34K77,NA,0.3apex,real,3.25,8
Padilla,34K77,NA,0.3apex,real,3.25,8
Padilla,34K77,NA,0.3apex,real,3.5,8
Padilla,34K77,NA,0.3apex,real,3,8
Padilla,34K77,NA,0.3apex,real,3,9
Padilla,34K77,NA,0.3apex,real,3.25,9
Padilla,34K77,NA,0.3apex,real,4.75,11
Padilla,34K77,NA,0.3apex,real,4.5,11
Padilla,34K77,NA,0.3apex,real,4.5,11
Padilla,34K77,NA,0.3apex,real,5,12
Padilla,34K77,NA,0.3apex,real,5.25,12
Padilla,34K77,NA,0.3apex,real,5.25,12
Padilla,34K77,NA,0.3apex,real,5.25,12
Padilla,34K77,NA,0.3apex,real,5,12
Padilla,34K77,NA,0.3apex,real,4.75,12
Padilla,34K77,NA,0.3apex,real,5.75,12
Padilla,34K77,NA,0.3apex,real,5.5,12
Padilla,34K77,NA,0.3apex,real,5.25,13
Padilla,34K77,NA,0.3apex,real,7.25,14
Padilla,34K77,NA,0.3apex,real,7.25,14
Padilla,34K77,NA,0.3apex,real,7.25,15
Padilla,34K77,NA,0.3apex,real,7.25,15
Padilla,34K77,NA,0.3apex,real,7.25,15
Padilla,34K77,NA,0.3apex,real,7.5,15
Padilla,34K77,NA,0.3apex,real,7.5,15
